ShPt,Plnt,SLoc,Delivery,Material,Item_Description,DlvQty,BUn,Supplier_Name,OPS,WM,GM,Delivdate,key_plant,key_material
8330,8330,1,680937954,220929,Prolong. broca coroa DD-BI-ET300,3.0,PC,HILTI,0,0,A,2024-09-25,8330/220929,8330/220929
3000,3000,1,681036376,220929,Prolongación broca corona DD-BI-ET300,1.0,PC,HILTI,0,0,A,2024-10-09,3000/220929,3000/220929
8330,8330,1,681076173,220929,Prolong. broca coroa DD-BI-ET300,3.0,PC,HILTI,0,0,A,2024-10-15,8330/220929,8330/220929
3000,3000,1,681150413,220929,Prolongación broca corona DD-BI-ET300,3.0,PC,HILTI,0,0,A,2024-11-06,3000/220929,3000/220929
8750,8750,1,681168356,220929,Prolongación broca corona DD-BI-ET300,1.0,PC,nan,0,0,A,2024-09-16,8750/220929,8750/220929
3000,3000,1,680920053,224117,Mandril de cierre rápido TE 2/2-S/2-E +,18.0,PC,HILTI,0,0,A,2024-09-24,3000/224117,3000/224117
3000,3000,1,681025218,224117,Mandril de cierre rápido TE 2/2-S/2-E +,18.0,PC,HILTI,0,0,A,2024-09-18,3000/224117,3000/224117
3000,3000,1,681036376,224117,Mandril de cierre rápido TE 2/2-S/2-E +,18.0,PC,HILTI,0,0,A,2024-10-09,3000/224117,3000/224117
3000,3000,1,680792672,226976,Diana PRA 54 (CM/IN),1.0,PC,HILTI,0,0,A,2024-09-13,3000/226976,3000/226976
8750,8750,1,681048773,226976,Diana PRA 54 (CM/IN),5.0,PC,HILTI,0,0,A,2024-10-16,8750/226976,8750/226976
3000,3000,1,680860909,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-17,3000/228085,3000/228085
3000,3000,1,680860910,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-17,3000/228085,3000/228085
3000,3000,1,680860911,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-17,3000/228085,3000/228085
3000,3000,1,680860918,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-17,3000/228085,3000/228085
3000,3000,1,680860919,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-17,3000/228085,3000/228085
3000,3000,1,680860920,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-17,3000/228085,3000/228085
3000,3000,1,680860921,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-17,3000/228085,3000/228085
3000,3000,1,680922134,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-24,3000/228085,3000/228085
3000,3000,1,680922135,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-09-24,3000/228085,3000/228085
3000,3000,1,680981529,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-10-07,3000/228085,3000/228085
3000,3000,1,680981530,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-10-07,3000/228085,3000/228085
3000,3000,1,681038174,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-10-09,3000/228085,3000/228085
3000,3000,1,681038178,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-10-09,3000/228085,3000/228085
3000,3000,1,681038179,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-10-09,3000/228085,3000/228085
3000,3000,1,681038180,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-10-09,3000/228085,3000/228085
3000,3000,1,681038181,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-10-09,3000/228085,3000/228085
3000,3000,1,681038182,228085,Martillo perforador TE 2 120V maletín,40.0,PC,HILTI,0,0,A,2024-10-09,3000/228085,3000/228085
3000,3000,1,681134300,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134301,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134302,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134303,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134304,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134305,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
