POrg|Plnt|SLoc|Material|Type|Doc_Date|Supplier|Pur_Doc|Quantity|OUn|Quantity1|SKU|PGr|Net_Price|Crcy|Per|To_be_del_1|To_be_del_2|To_be_inv_1|To_be_inv_2|key_plant|key_material
8300|8330|1|2203504|NB|2024-09-13|9999       HILTI|4537360324|170.0|PC|170.0|PC|L11|5.1|USD|1.0|170.0|867.0|0.0|0.0|8330/2203504|8300/2203504
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360327|800.0|PC|800.0|PC|L11|31.47|USD|100.0|800.0|251.76|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2208750|NB|2024-09-13|9999       HILTI|4537360329|800.0|PC|800.0|PC|L11|52.19|USD|100.0|800.0|417.52|0.0|0.0|8330/2208750|8300/2208750
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537360332|1900.0|PC|1900.0|PC|L11|7.34|USD|10.0|1900.0|1394.6|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537360334|120.0|PC|120.0|PC|L11|16.19|USD|1.0|120.0|1942.8|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2216424|NB|2024-09-13|9999       HILTI|4537360336|8.0|PC|8.0|PC|L11|25.76|USD|1.0|8.0|206.08|0.0|0.0|8330/2216424|8300/2216424
8300|8330|1|2230432|NB|2024-09-13|9999       HILTI|4537360338|300.0|PC|300.0|PC|L11|4.99|USD|10.0|300.0|149.7|0.0|0.0|8330/2230432|8300/2230432
8300|8330|1|2238428|NB|2024-09-13|9999       HILTI|4537360339|40.0|PC|40.0|PC|L11|33.71|USD|1.0|40.0|1348.4|0.0|0.0|8330/2238428|8300/2238428
8300|8330|1|2241678|NB|2024-09-13|9999       HILTI|4537360341|700.0|PC|700.0|PC|L11|6.46|USD|100.0|700.0|45.22|0.0|0.0|8330/2241678|8300/2241678
8300|8330|1|2203488|NB|2024-09-13|9999       HILTI|4537360343|12.0|M|12.0|M|L11|26.13|USD|1.0|12.0|313.56|0.0|0.0|8330/2203488|8300/2203488
8300|8330|1|2203491|NB|2024-09-13|9999       HILTI|4537360345|12.0|M|12.0|M|L11|48.84|USD|1.0|12.0|586.08|0.0|0.0|8330/2203491|8300/2203491
8300|8330|1|2203495|NB|2024-09-13|9999       HILTI|4537360346|12.0|M|12.0|M|L11|95.87|USD|1.0|12.0|1150.44|0.0|0.0|8330/2203495|8300/2203495
8300|8330|1|2203504|NB|2024-09-13|9999       HILTI|4537360347|20.0|PC|20.0|PC|L11|5.1|USD|1.0|20.0|102.0|0.0|0.0|8330/2203504|8300/2203504
8300|8330|1|2203523|NB|2024-09-13|9999       HILTI|4537360349|15.0|PC|15.0|PC|L11|80.45|USD|1.0|15.0|1206.75|0.0|0.0|8330/2203523|8300/2203523
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360350|40.0|PC|40.0|PC|L11|8.09|USD|10.0|40.0|32.36|0.0|0.0|8330/2205246|8300/2205246
