SOrg|Plnt|Material|Material_number|X_Plant_Material_Status|MS|Gross_weight|WUn|Spart|ValidFrom|Minorder_qty|BUn|Orig|Web|FM_rel|Av|PGr|GRT|Typ|MRPCn|Minlot_size|BUn1|SPT|PDT|TABCD|XYZ|Pl|Safety_Stock|Rounding_val|BUn2|Rprofile|LS|Min_dely_qty|BUn3|key_material
8300|8330|2097333|PROFIS Rebar|14|80|0.0|G|nan|2019-08-15|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|0.0|PC|nan|0.0|D|Z|X|0.0|0|PC|Z003|nan|1.0|PC|8300/2097333
8300|8330|2097335|PROFIS installation sys.|14|80|0.0|G|nan|2019-08-15|1.0|PC|nan|nan|nan|nan|L13|20.0|ND|L13|0.0|PC|nan|0.0|D|Z|X|0.0|0|PC|Z003|nan|1.0|PC|8300/2097335
8300|8330|3481875|lixeira|18|80|1.0|G|nan|2011-09-03|1.0|PC|nan|nan|nan|ZC|BR1|0.0|ND|BR1|0.0|PC|nan|0.0|D|Z|X|0.0|0|PC|Z004|nan|1.0|PC|8300/3481875
8300|8330|3635234|Projeto 2D de selagem resistente ao fogo|14|40|0.0|G|nan|2024-02-21|1.0|PC|nan|nan|nan|nan|L13|20.0|ND|L13|1.0|PC|20|0.0|D|N|nan|0.0|1|PC|Z001|nan|1.0|PC|8300/3635234
8300|8330|2097334|PROFIS anchor channel|14|40|0.0|G|nan|2021-06-02|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2097334
8300|8330|3901967|TRANSFERENCIA DE SALDO DE ICMS DEVEDOR|14|80|1.0|G|nan|2023-11-10|1.0|PC|nan|nan|nan|ZC|BR1|0.0|nan|nan|0.0|PC|nan|0.0|nan|nan|X|0.0|0|PC|Z004|nan|1.0|PC|8300/3901967
8300|8330|3810008|Plan de Negocio|14|40|1.0|G|nan|2022-06-21|1.0|PC|CL|nan|nan|nan|BR1|20.0|ND|BR1|0.0|PC|nan|0.0|D|N|nan|0.0|0|PC|Z004|nan|1.0|PC|8300/3810008
8300|8330|2331242|E-learning all H+S courses|14|14|0.0|KG|nan|2022-09-20|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|0.0|PC|nan|0.0|D|N|nan|0.0|0|PC|Z004|nan|1.0|PC|8300/2331242
8300|8330|3682162|Quotation for Fire Stop sys.|14|80|0.0|G|nan|2020-06-25|1.0|H|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|H|20|10.0|D|Z|X|0.0|1,000|H|nan|nan|1.0|H|8300/3682162
8300|8330|2291118|Remote HS Training (PP) basic|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291118
