Material|Material_Description|SLoc|SL|Plnt|BUn|Unrestricted|Transit_Transf|Blocked|In_Qual_Insp|Restricted_Use|Returns|Stk_in_Transit|Sorg|key_material
3758|Deflection spring|2.0|nan|8335|PC|22.0|0|0|0|0|0|0|8300|8300/3758
3758|Deflection spring|6000.0|nan|8335|PC|10.0|0|0|0|0|0|0|8300|8300/3758
3758|Deflection spring|6000.0|nan|8678|PC|8.0|0|0|0|0|0|0|8650|8650/3758
3758|Deflection spring|6000.0|nan|8770|PC|4.0|0|0|0|0|0|0|8750|8750/3758
3768|Leaf spring|nan|nan|3000|PC|0.0|10|0|0|0|0|10|3000|3000/3768
3768|Leaf spring|6000.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/3768
3768|Leaf spring|6000.0|nan|8678|PC|3.0|0|0|0|0|0|0|8650|8650/3768
3769|Spares pack|1.0|nan|3000|PC|5.0|0|0|0|0|0|0|3000|3000/3769
3785|Piston guide assy|50.0|nan|8326|PC|2.0|0|0|0|0|0|0|8300|8300/3785
3785|Piston guide assy|2.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3785
3785|Piston guide assy|6000.0|nan|8335|PC|7.0|0|0|0|0|0|0|8300|8300/3785
3785|Piston guide assy|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/3785
3787|Hex skt hd cap screw M5X100|50.0|nan|8326|PC|10.0|0|0|0|0|0|0|8300|8300/3787
3787|Hex skt hd cap screw M5X100|6000.0|nan|8678|PC|5.0|0|0|0|0|0|0|8650|8650/3787
3869|Tension spring 0,7X5,2X20,9|6000.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/3869
3994|Adhesive LOCTITE 243 50CCM|8000.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/3994
3994|Adhesive LOCTITE 243 50CCM|1.0|nan|8330|PC|1.0|0|0|0|0|0|0|8300|8300/3994
3994|Adhesive LOCTITE 243 50CCM|8000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3994
3994|Adhesive LOCTITE 243 50CCM|8000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3994
3994|Adhesive LOCTITE 243 50CCM|8000.0|nan|8770|PC|8.0|0|0|0|0|0|0|8750|8750/3994
4579|Compression spring 2,6/2,6X106|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/4579
4667|Lamellar ring AS 22,1|nan|nan|3000|PC|0.0|20|0|0|0|0|20|3000|3000/4667
4790|O-ring 39X2|6000.0|nan|3070|PC|2.0|0|0|0|0|0|0|3000|3000/4790
4790|O-ring 39X2|6000.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/4790
4790|O-ring 39X2|6000.0|nan|8678|PC|12.0|0|0|0|0|0|0|8650|8650/4790
4790|O-ring 39X2|6000.0|nan|8770|PC|2.0|0|0|0|0|0|0|8750|8750/4790
5471|Guard plate|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/5471
5471|Guard plate|4500.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/5471
5471|Guard plate|4500.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/5471
5510|Retaining washer 6|nan|nan|3000|PC|0.0|220|0|0|0|0|220|3000|3000/5510
5510|Retaining washer 6|4500.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/5510
7743|Marking character X-MC S 8/10 0-9|1.0|nan|3091|PC|1.0|0|0|0|0|0|0|3000|3000/7743
7743|Marking character X-MC S 8/10 0-9|1.0|nan|8750|PC|1.0|0|0|0|0|0|0|8750|8750/7743
7744|Marking character X-MC S 8/10 A-Z|1.0|nan|8330|PC|2.0|0|0|0|0|0|0|8300|8300/7744
8995|Needle race HK1312|1000.0|nan|8770|PC|2.0|0|0|0|0|0|0|8750|8750/8995
9635|Hex skt csk hd scr M6X16|nan|nan|3000|PC|0.0|90|0|0|0|0|90|3000|3000/9635
