13.09.2024                                         Dynamic List Display                                                                                                  1


	SOrg.	Plnt	Name 1	SLoc	Description	Material	Material Description	Profl.	Serial Number		PP	Equipment	Pstng Date	Total	Serials	BUn
	3000	3090	Hilti TS Mexico	0105	3090-0105	273643	Combihammer TE 70-ATC 120V	Z001	28789		01	300023120210	12.09.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	273643	Combihammer TE 70-ATC 120V	Z001	40688.		01	300025431123	26.09.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	274719	Breaker TE 500-AVR 120V	Z001	11764		01	300021999713	12.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	274935	Diamond coring tool DD 120 120V	Z001	5558		01	300023084477	14.07.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	283460	Cordless rotary hammer TE 2-A case	Z001	82000255		01	300023881503	12.05.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	283460	Cordless rotary hammer TE 2-A case	Z001	8204280.		01	300022769769	28.01.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	284778	Breaker TE 706-AVR 120V	Z001	21478		01	300025780207	21.10.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	285794	Powder-actuated tool DX 76 MX	Z001	19188		01	300041183593	03.04.2013		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	320281	Laser range meter PD 40	Z001	325841		01	300024505589	14.07.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	331413	Rotating laser PRI 2 / PRA 22	Z001	15907058.		01	300025974452	11.11.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	333315	Nail magazine X-MX 27 assy	Z001	68502		01	300051711612	11.03.2016		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	334239	Combihammer TE 76-ATC 120V	Z001	242998.		01	300023881475	12.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	337032	Diamond cutter DC 180-S 127V	Z001	791003092		01	300023881616	28.04.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	369388	Diamond grinder DG 150 120V WH	Z001	70674		01	300048969656	26.01.2016		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	374040	Combihammer TE 56-ATC 120V	Z001	117975		01	300023115043	14.07.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	377418	Powder-actuated tool DX 351 M+E	Z001	205217		01	300053159225	11.03.2016		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	378426	Battery pack B 24/3.0 NiMH	Z001	00286290.		01	300023881525	12.05.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	378426	Battery pack B 24/3.0 NiMH	Z001	12365889		01	300021672179	01.11.2007		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	378449	Battery charger C 7/24 115V	Z001	168068		01	300023241276	04.03.2008		     3	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	378449	Battery charger C 7/24 115V	Z001	1236589		01	300021672178	01.11.2007		     3	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	378449	Battery charger C 7/24 115V	Z001	C162340		01	300023881734	12.05.2008		     3	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	382594	Angle grinder DAG 500-D 120V box	Z001	211000203		01	300043267042	15.03.2013		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	382594	Angle grinder DAG 500-D 120V box	Z001	302000193		01	300045388867	16.10.2013		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	383885	Combihammer TE 40 120V	Z001	20985.		01	300023881474	12.05.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	383885	Combihammer TE 40 120V	Z001	20986.		01	300023881731	12.05.2008		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	387980	Gas-actuated tool GX 100	Z001	89490.		01	300023881730	12.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	403195	Cordl. dryw. screwdr. SD 5000-A22 case	Z001	444909		01	300044983593	14.07.2014		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	404314	Rotary hammer TE 30-M-AVR 127V	Z001	107861		01	300061159639	06.10.2016		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	423165	Cordl. circular saw SCW 22-A case	Z001	54167		01	300051464744	09.11.2016		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2007431	Battery pack B 22/3.3 Li-Ion	Z001	7532283		01	300044976416	16.07.2013		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2007431	Battery pack B 22/3.3 Li-Ion	Z001	8878359		01	300057822944	26.01.2016		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2028878	Battery charger C 4/36-350 115V box	Z001	20930372		01	300046438126	01.02.2014		     4	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2028878	Battery charger C 4/36-350 115V box	Z001	111170071		01	300071348649	27.02.2018		     4	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2028878	Battery charger C 4/36-350 115V box	Z001	120770391		01	300068789526	13.10.2017		     4	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2028878	Battery charger C 4/36-350 115V box	Z001	170180901		01	300074067247	13.07.2018		     4	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2029311	Cordl. combihammer TE 30-A36 case	Z001	34400		01	300045007935	21.05.2014		     1	PC
