
	Material	Material Description	SLoc	SL	Plnt	BUn	   Unrestricted	Transit/Transf.	        Blocked	 In Qual. Insp.	 Restricted-Use	        Returns	 Stk in Transit
	228341	Ceiling hanger X-EHS W6 MX	0001		3022	PC	           400	             0	             0	             0	             0	             0	             0
	228342	Ceiling clip X-ECC MX	0001		3000	PC	       290.600	             0	             0	             0	             0	             0	             0
	228342	Ceiling clip X-ECC MX	0001		3002	PC	         2.400	             0	             0	             0	             0	             0	             0
	228342	Ceiling clip X-ECC MX	0001		3010	PC	           200	             0	             0	             0	             0	             0	             0
	228342	Ceiling clip X-ECC MX	0001		3014	PC	         2.100	             0	             0	             0	             0	             0	             0
	228342	Ceiling clip X-ECC MX	0001		3016	PC	         2.000	             0	             0	             0	             0	             0	             0
	228342	Ceiling clip X-ECC MX	0001		3022	PC	           400	             0	             0	             0	             0	             0	             0
	228342	Ceiling clip X-ECC MX	0001		8750	PC	         4.000	             0	             0	             0	             0	             0	             0
	229138	Handle HIT-RBH	0001		3000	PC	           106	             0	             0	             0	             0	             0	             0
	229138	Handle HIT-RBH	0001		3002	PC	             2	             0	             0	             0	             0	             0	             0
	229138	Handle HIT-RBH	0001		3010	PC	             3	             0	             0	             0	             0	             0	             0
	229138	Handle HIT-RBH			3014	PC	             0	             4	             0	             0	             0	             0	             4
	229138	Handle HIT-RBH	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	229138	Handle HIT-RBH			3018	PC	             0	             4	             0	             0	             0	             0	             4
	229138	Handle HIT-RBH	0001		3018	PC	             2	             0	             0	             0	             0	             0	             0
	229138	Handle HIT-RBH	0001		3022	PC	             3	             0	             0	             0	             0	             0	             0
	229138	Handle HIT-RBH	0001		8750	PC	            67	             0	             0	             0	             0	             0	             0
	232241	Double taper pin D-CO-ML	0001		3000	PC	             2	             0	             0	             0	             0	             0	             0
	232241	Double taper pin D-CO-ML	0001		8750	PC	             6	             0	             0	             0	             0	             0	             0
	232244	Eccentric pin DD-EP-ML	0001		3000	PC	             4	             0	             0	             0	             0	             0	             0
	232244	Eccentric pin DD-EP-ML	0001		8750	PC	             8	             0	             0	             0	             0	             0	             0
	233868	Twist drill bit HSS 1/16" (12)	0001		3016	PC	            12	             0	             0	             0	             0	             0	             0
	233868	Twist drill bit HSS 1/16" (12)	0001		3022	PC	            12	             0	             0	             0	             0	             0	             0
	234421	Twist drill bit HSS 1/8" (12)	0001		3000	PC	           204	             0	             0	             0	             0	             0	             0
	234421	Twist drill bit HSS 1/8" (12)	0001		3010	PC	            12	             0	             0	             0	             0	             0	             0
	234421	Twist drill bit HSS 1/8" (12)	0001		3014	PC	            12	             0	             0	             0	             0	             0	             0
	234421	Twist drill bit HSS 1/8" (12)	0001		3016	PC	            12	             0	             0	             0	             0	             0	             0
	234421	Twist drill bit HSS 1/8" (12)	0001		3018	PC	            12	             0	             0	             0	             0	             0	             0
	234421	Twist drill bit HSS 1/8" (12)	0001		3022	PC	            12	             0	             0	             0	             0	             0	             0
	234460	Insulating foam CF-I 50 ECO GV	0001		3000	PC	           576	             0	         1.996	             0	             0	             0	             0
	234460	Insulating foam CF-I 50 ECO GV	0001		3014	PC	            40	             0	             0	             0	             0	             0	             0
	234460	Insulating foam CF-I 50 ECO GV	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	234460	Insulating foam CF-I 50 ECO GV	0001		3022	PC	             1	             0	             0	             0	             0	             0	             0
	235841	Sleeve DS-WS 10mm	0001	X	8750	PC	             5	             0	             0	             0	             0	             0	             0
	235845	Crimping pliers DS-WSTHY	0001		8750	PC	             2	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		3000	PC	           243	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		3002	PC	             4	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		3010	PC	             4	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		3014	PC	             4	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		3016	PC	             8	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		3018	PC	             8	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		3022	PC	             3	             0	             0	             0	             0	             0	             0
	236120	Connection end BI (M41)	0001		8750	PC	           214	             0	             0	             0	             0	             0	             0
	237329	Universal nail X-U 16 P8 TH	0001		3000	PC	         5.700	             0	             0	             0	             0	             0	             0
	237330	Universal nail X-U 16 P8	0001		8750	PC	        35.000	             0	             0	             0	             0	             0	             0
	237331	Universal nail X-U 19 P8	0001		8750	PC	       163.900	             0	             0	             0	             0	             0	             0
	237332	Universal nail X-U 22 P8	0001		8750	PC	         1.000	             0	             0	             0	             0	             0	             0
	237333	Universal nail X-U 27 P8	0001		8750	PC	           500	             0	             0	             0	             0	             0	             0
	237344	Universal nail X-U 16 MX	0001		3000	PC	         1.200	             0	             0	             0	             0	             0	             0
	238004	Center section DS-BG 120	0001		3000	PC	             0	             0	             1	             0	             0	             0	             0
	238005	Side section DS-BG 120	0001		3000	PC	             0	             0	             1	             0	             0	             0	             0
	238727	Brush extension HIT-RBV manual	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	238727	Brush extension HIT-RBV manual	0001		8750	PC	             9	             0	             0	             0	             0	             0	             0
	241356	Twist drill bit HSS 3/16" (12)	0001		3000	PC	           132	             0	             0	             0	             0	             0	             0
	241396	Flush anchor HDV 1/4"x1"	0001		3000	PC	             0	             0	           100	             0	             0	             0	             0
