13.09.2024                                                                 Dynamic List Display                                                                                                                           1


	POrg	Plnt	SLoc	Material	Type	Doc. Date	Supplier	Pur. Doc.	Quantity	OUn	Quantity	SKU	PGr	     Net Price	Crcy	    Per	  To be del.	       To be del.	  To be inv.	       To be inv.
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537360273	     64	PC	     64	PC	L11	        16,19	USD	     1	         64	        1.036,16	          0	            0,00
	8300	8330	0001	2216396	NB	13.09.2024	9999       HILTI	4537360275	    100	PC	    100	PC	L11	        21,36	USD	   100	        100	           21,36	          0	            0,00
	8300	8330	0001	2216424	NB	13.09.2024	9999       HILTI	4537360278	    104	PC	    104	PC	L11	        25,76	USD	     1	        104	        2.679,04	          0	            0,00
	8300	8330	0001	2226734	NB	13.09.2024	9999       HILTI	4537360281	     50	PC	     50	PC	L11	        12,20	USD	     1	         50	          610,00	          0	            0,00
	8300	8330	0001	2237067	NB	13.09.2024	9999       HILTI	4537360283	    100	PC	    100	PC	L11	         7,22	USD	   100	        100	            7,22	          0	            0,00
	8300	8330	0001	2238428	NB	13.09.2024	9999       HILTI	4537360286	    116	PC	    116	PC	L11	        33,71	USD	     1	        116	        3.910,36	          0	            0,00
	8300	8330	0001	2241678	NB	13.09.2024	9999       HILTI	4537360287	    600	PC	    600	PC	L11	         6,46	USD	   100	        600	           38,76	          0	            0,00
	8300	8330	0001	2247241	NB	13.09.2024	9999       HILTI	4537360289	    200	PC	    200	PC	L11	        34,27	USD	   100	        200	           68,54	          0	            0,00
	8300	8330	0001	2268533	NB	13.09.2024	9999       HILTI	4537360290	    300	PC	    300	PC	L11	        77,53	USD	   100	        300	          232,59	          0	            0,00
	8300	8330	0001	2276323	NB	13.09.2024	9999       HILTI	4537360292	     95	PC	     95	PC	L11	        33,66	USD	    10	         95	          319,77	          0	            0,00
	8300	8330	0001	2276323	NB	13.09.2024	9999       HILTI	4537360295	    100	PC	    100	PC	L11	        33,66	USD	    10	        100	          336,60	          0	            0,00
	8300	8330	0001	2203488	NB	13.09.2024	9999       HILTI	4537360297	    204	M	    204	M	L11	        26,13	USD	     1	        204	        5.330,52	          0	            0,00
	8300	8330	0001	2203495	NB	13.09.2024	9999       HILTI	4537360299	    204	M	    204	M	L11	        95,87	USD	     1	        204	       19.557,48	          0	            0,00
	8300	8330	0001	2203504	NB	13.09.2024	9999       HILTI	4537360301	     70	PC	     70	PC	L11	         5,10	USD	     1	         70	          357,00	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360304	  1.000	PC	  1.000	PC	L11	        31,47	USD	   100	      1.000	          314,70	          0	            0,00
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360305	    200	PC	    200	PC	L11	        22,17	USD	   100	        200	           44,34	          0	            0,00
